Compartment,Age of forest,LoggingRotation,Leaflitter1,Leaflitter2,Leaflitter3,Leaflitter4,Leaflitter5,Leaflitter6,Leaflitter7,Leaflitter8,Leaflitter9,Leaflitter10,Leaflitter11,CanopyClosure1,CanopyClosure2,CanopyClosure3,CanopyClosure4,CanopyClosure5,CanopyClosure6,CanopyClosure7,CanopyClosure8,CanopyClosure9,CanopyClosure10,CanopyClosure11,CanopyClosure12,HerbHeight1,HerbHeight2,HerbHeight3,HerbHeight4,HerbHeight5,HerbHeight6
JI64,31,1,4,4,3,2,4,2,2,NA,NA,NA,NA,83,83,79,100,96,79,87,83,NA,NA,NA,NA,70,30,30,50,NA,NA
JI64,31,1,3,5,5,3,4,4,3,NA,NA,NA,NA,100,67,46,79,67,100,46,0,NA,NA,NA,NA,110,130,100,140,NA,NA
JI64,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JI40,33,2,2,1,3,4,3,3,4,5,2,3,3,42,46,0,50,100,100,100,92,50,87,96,75,150,150,40,30,30,50
JI40,33,2,5,3,4,7,6,3,3,3,3,3,3,96,75,50,83,100,67,71,75,NA,NA,NA,NA,50,60,40,10,0,30
JI40,33,2,5,2,2,2,3,2,4,4,5,7,3,92,96,83,92,83,96,87,79,96,92,79,96,20,0,10,0,150,60
JI40,33,2,4,3,2,3,2,2,2,0,0,0,0,92,87,100,96,0,0,71,75,21,0,0,50,60,130,120,130,90,70
JI40,33,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,8,67,NA,NA,NA,NA,NA,NA,NA,NA,90,100,NA,NA,NA,NA
JI40,33,2,3,2,5,5,3,3,2,5,3,3,4,96,96,83,96,100,100,100,100,96,96,87,100,150,70,50,80,100,120
JI40,33,2,3,3,3,5,3,2,3,NA,NA,NA,NA,67,92,92,79,100,62,79,100,NA,NA,NA,NA,60,50,80,60,NA,NA
